## Phi                  Theta                 Psi
  4.80801332620663e+00  1.11877197892713e+00  1.78294777901539e+00
  4.80776411852659e+00  1.12008068116882e+00  1.78313170854096e+00
  4.80751533563097e+00  1.12138942450239e+00  1.78331515969829e+00
  4.80726697587655e+00  1.12269820877701e+00  1.78349813400689e+00
  4.80701903762717e+00  1.12400703384252e+00  1.78368063297891e+00
  4.80677151639418e+00  1.12531590037263e+00  1.78386265620421e+00
  4.80652437453006e+00  1.12662481858778e+00  1.78404418103332e+00
  4.80627764929365e+00  1.12793377714803e+00  1.78422523497116e+00
  4.80603133907645e+00  1.12924277590587e+00  1.78440581950086e+00
  4.80578544227683e+00  1.13055181471450e+00  1.78458593609841e+00
  4.80553995729996e+00  1.13186089342775e+00  1.78476558623267e+00
  4.80529488255778e+00  1.13317001190012e+00  1.78494477136543e+00
  4.80505021646898e+00  1.13447916998675e+00  1.78512349295142e+00
  4.80480595745892e+00  1.13578836754342e+00  1.78530175243839e+00
  4.80456210395964e+00  1.13709760442658e+00  1.78547955126712e+00
  4.80431865842114e+00  1.13840688289834e+00  1.78565689469979e+00
  4.80407562902871e+00  1.13971620865046e+00  1.78583379345629e+00
  4.80383300049968e+00  1.14102557330306e+00  1.78601023584716e+00
  4.80359077129234e+00  1.14233497671512e+00  1.78618622328573e+00
  4.80334893987144e+00  1.14364441874624e+00  1.78636175717858e+00
  4.80310750470815e+00  1.14495389925662e+00  1.78653683892552e+00
  4.80286646428003e+00  1.14626341810711e+00  1.78671146991968e+00
  4.80262581707101e+00  1.14757297515913e+00  1.78688565154749e+00
  4.80238556157133e+00  1.14888257027477e+00  1.78705938518877e+00
  4.80214569627751e+00  1.15019220331666e+00  1.78723267221671e+00
  4.80190620720529e+00  1.15150186573052e+00  1.78740551142470e+00
  4.80166708516925e+00  1.15281155219455e+00  1.78757790256229e+00
  4.80142834886876e+00  1.15412127618011e+00  1.78774985113147e+00
  4.80118999682505e+00  1.15543103755224e+00  1.78792135847942e+00
  4.80095202756540e+00  1.15674083617657e+00  1.78809242594687e+00
  4.80071443962320e+00  1.15805067191931e+00  1.78826305486814e+00
  4.80047723153785e+00  1.15936054464726e+00  1.78843324657123e+00
  4.80024040185475e+00  1.16067045422781e+00  1.78860300237779e+00
  4.80000394912528e+00  1.16198040052891e+00  1.78877232360319e+00
  4.79976787190672e+00  1.16329038341909e+00  1.78894121155651e+00
  4.79953220077677e+00  1.16460041478768e+00  1.78910966993989e+00
  4.79929693065861e+00  1.16591049313511e+00  1.78927769983620e+00
  4.79906203173757e+00  1.16722060767231e+00  1.78944530042656e+00
  4.79882750259454e+00  1.16853075827010e+00  1.78961247299530e+00
  4.79859334181614e+00  1.16984094479988e+00  1.78977921882063e+00
  4.79835954799474e+00  1.17115116713357e+00  1.78994553917472e+00
  4.79812611972840e+00  1.17246142514368e+00  1.79011143532367e+00
  4.79789305562084e+00  1.17377171870324e+00  1.79027690852762e+00
  4.79766035428141e+00  1.17508204768584e+00  1.79044196004070e+00
  4.79742801432504e+00  1.17639241196560e+00  1.79060659111113e+00
  4.79719603621180e+00  1.17770280571211e+00  1.79077079647609e+00
  4.79696441758773e+00  1.17901323179266e+00  1.79093458079586e+00
  4.79673315620751e+00  1.18032369279351e+00  1.79109794839394e+00
  4.79650225070823e+00  1.18163418859095e+00  1.79126090049503e+00
  4.79627169973240e+00  1.18294471906176e+00  1.79142343831803e+00
  4.79604150192794e+00  1.18425528408328e+00  1.79158556307608e+00
  4.79581165594815e+00  1.18556588353334e+00  1.79174727597660e+00
  4.79558216045169e+00  1.18687651729030e+00  1.79190857822131e+00
  4.79535301410253e+00  1.18818718523304e+00  1.79206947100624e+00
  4.79512421556991e+00  1.18949788724096e+00  1.79222995552181e+00
  4.79489582278670e+00  1.19080861931115e+00  1.79239001914373e+00
  4.79466778579312e+00  1.19211938449460e+00  1.79254967447298e+00
  4.79444009259487e+00  1.19343018337066e+00  1.79270892517889e+00
  4.79421274188241e+00  1.19474101582081e+00  1.79286777242934e+00
  4.79398573235133e+00  1.19605188172700e+00  1.79302621738675e+00
  4.79375906270231e+00  1.19736278097170e+00  1.79318426120803e+00
  4.79353273164113e+00  1.19867371343786e+00  1.79334190504467e+00
  4.79330673787862e+00  1.19998467900891e+00  1.79349915004275e+00
  4.79308108013062e+00  1.20129567756880e+00  1.79365599734295e+00
  4.79285575711799e+00  1.20260670900192e+00  1.79381244808058e+00
  4.79263088576641e+00  1.20391781109414e+00  1.79396851687394e+00
  4.79240634830538e+00  1.20522894637007e+00  1.79412419170566e+00
  4.79218214174095e+00  1.20654011416087e+00  1.79427947349869e+00
  4.79195826481408e+00  1.20785131435293e+00  1.79443436336708e+00
  4.79173471627057e+00  1.20916254683312e+00  1.79458886241961e+00
  4.79151149486103e+00  1.21047381148877e+00  1.79474297175987e+00
  4.79128859934090e+00  1.21178510820769e+00  1.79489669248628e+00
  4.79106602847036e+00  1.21309643687813e+00  1.79505002569212e+00
